;Ignore;Wait;Look;Move;Handshake
WaitClose;80;20;0;0;0
WaitMiddle;100;0;0;0;0
WaitFar;100;0;0;0;0
LookClose;40;20;30;0;0
LookMiddle;100;0;0;0;0
LookFar;100;0;0;0;0
WaveClose;60;20;20;0;0
WaveMiddle;30;0;10;60;0
WaveFar;100;0;0;0;0
HSClose;50;0;0;0;50
HSMiddle;75;0;15;10;0
HSFar;100;0;0;0;0
