;Ignore;Wait;Look;Move;Handshake
WaitClose;100;0;0;0;0
WaitMiddle;100;0;0;0;0
WaitFar;100;0;0;0;0
LookClose;80;20;0;0;0
LookMiddle;90;10;0;0;0
LookFar;100;0;0;0;0
WaveClose;70;30;0;0;0
WaveMiddle;100;0;0;0;0
WaveFar;100;0;0;0;0
HSClose;70;30;0;0;0
HSMiddle;100;0;0;0;0
HSFar;100;0;0;0;0
