;Ignore;Wait;Look;Move;Handshake
WaitClose;100;0;0;0;0
WaitMiddle;100;0;0;0;0
WaitFar;100;0;0;0;0
LookClose;40;0;30;20;0
LookMiddle;70;0;30;0;0
LookFar;100;0;0;0;0
WaveClose;0;0;0;100;0
WaveMiddle;0;0;60;40;0
WaveFar;50;0;30;20;0
HSClose;60;0;40;0;0
HSMiddle;80;0;20;0;0
HSFar;100;0;0;0;0
