;Ignore;Wait;Look;Move;Handshake
WaitClose;100;0;0;0;0
WaitMiddle;100;0;0;0;0
WaitFar;100;0;0;0;0
LookClose;30;0;50;20;0
LookMiddle;60;0;30;10;0
LookFar;90;0;10;0;0
WaveClose;10;0;60;30;0
WaveMiddle;30;0;50;20;0
WaveFar;60;0;30;10;0
HSClose;50;0;30;20;0
HSMiddle;60;0;40;0;0
HSFar;100;0;0;0;0
