;Ignore;Wait;Look;Move;Handshake
WaitClose;100;0;0;0;0
WaitMiddle;100;0;0;0;0
WaitFar;100;0;0;0;0
LookClose;60;20;20;0;0
LookMiddle;80;0;20;0;0
LookFar;100;0;0;0;0
WaveClose;10;40;50;0;0
WaveMiddle;50;0;50;0;0
WaveFar;80;0;20;0;0
HSClose;50;30;20;0;0
HSMiddle;50;0;20;0;0
HSFar;100;0;0;0;0
